#Linkers: 
#Core	Expansion
PABIR1 PPP3CB PPP3R1 RCAN1	
CACNA2D2 CCR5 CD4 CNPY3 COL14A1 CPE CXCL12 CXCR4 HLA-DMA HLA-DQB2 HLA-DRA HLA-DRB1 IL24 LAMB1 LAMC1 LRRC1 LRRC40 LSP1 MUCL1 NR2F2 OAF OGN PHOSPHO1 PRL PXDN RNASE13 SLC1A1 TM2D3	
IGHG2 LGALS1 MEGF8 PSG1 PSG3 PSG5 SLITRK5 USF2	
CMYA5 IL6 IL6ST LIFR OSM OSMR	
ABT1 AKR1C2 B2M CD200R1 CLEC3B COL1A1 COL1A2 COL3A1 FCGRT HFE HLA-DQB1 HLA-E HLA-F HLA-G HTRA1 IGKC IMPDH1 KDM5C KIR3DL1 LILRB2 LTF MAPK15 NINJ1 NOP53 P4HA2 PCOLCE RPS6KB1 SCYL1 SIRPG SPARC TAPBP TSPYL2 ZFP1 ZNF286A ZNF532 ZNF592	
ADAM17 B4GALT1 CD151 CD63 CD9 CDRT15 CNTN1 COL18A1 COL5A1 DAPK1 EGFL7 ENSA FKBP2 FURIN HBEGF IFI30 ITGA5 ITGB3 LUM MCAM MMP14 MMP2 MSMO1 OR10G4 PLG PSAT1 RALGDS RAP2A RAP2B RGL1 RRAD SLIT2 SLX4IP THBS1 TIMP1 TIMP2 TIMP3 TSPAN9 TTC31 TTLL3	
ERF RTL8C SERPINA7	
ATRX SMIM40 SPIN3	
CANT1 DPEP2NB LRIG1 NBL1	
L3MBTL1 ZNF146	
FGF14 HOXD12 MAOB NFYA NFYB	
PRPF39 TRNAU1AP	
DAO DAOA	
FAM81A NAP1L2	
EML1 ISG20L2	
RAB19 VCAN	
PNPLA2 SERPINF1	
CLIC4 CLIC5 GATD3A	
GMPPA GMPPB PI4K2B PRUNE1	
RASL10A RIC8B	
LRRFIP1 LRRFIP2 TMOD1	
ALDH1A1 ALDH2 DENND10	
GLOD4 PNRC1 PNRC2 PPARGC1A RARB RORA	
EDNRA SYNGR2	
GPATCH4 OAZ1 RUFY1 SRA1	
ASAH1 BNIP3L CAMK1D GMFG	
GINS1 TIPIN	
PLEKHG5 RND3	
ALDH1B1 FEM1B	
CFDP1 REC8	
CHD2 ELOA2	
TMEM159 ZNF391	
MIX23 MLYCD TAMM41	
CACNA2D1 ETFDH MYH7B	
PLAC9 RAPGEF5	
ACSF2 APOC1 ATP5MJ HCFC1R1 NDUFA2 NSG2	
KCNJ2 KCNJ5	
CCNY CYP51A1	
NARS1 NUCB1 PRXL2B	
IFNGR1 SLC9A6 TMEM100	
DPPA2 SETD5	
ATOX1 FAM118A MOB3C PCYT1A	
CNN2 CNN3	
PRPF38B SLTM	
CXCL8 EGR1 JUNB	
RAD51B RPAIN XRCC2	
DPY19L2 GUK1	
AHNAK PPIP5K2	
IL13 IL13RA1	
NFIX ZNF614	
PROK2 SOCS5 TMBIM1	
ALS2CL RAB22A	
LAMTOR1 LAMTOR4	
CCNG2 PPP2R5C	
CRYAB CRYGC	
CHRNA3 CHRNB4	
C7 C8G	
NDUFA1 NDUFS5	
ABHD6 CKMT2 ELN ITM2A OLFML3 TMED9	
BCL9L SSBP3 SSBP4 TAL1	
PIGA PIGP	
COG5 COG7	
ALDOA IFNA4	
C1R C1S	
CREBL2 CREBRF	
GRK2 RASGRF1	
ABI3BP GOT1	
SOHLH1 STH	
ISCU SDHB	
FAM241A SGCD	
CYBA NCF1 NCF4	
EHD1 EHD3	
